,url,address,neighborhood,rent,beds,baths
3839,https://www.renthop.com/listings/west-15th-street/na/15096762,West 15th Street,"Chelsea, Midtown Manhattan, Manhattan","$5,200",1_Bed,1_Bath
3840,https://www.renthop.com/listings/west-21st-street/na/15096836,West 21st Street,"Flatiron District, Midtown Manhattan, Manhattan","$5,200",1_Bed,1_Bath
3841,https://www.renthop.com/listings/w-141st-and-malcolm-x-blvd/11k/15770327,"30 W 141st, Apt 11K","Central Harlem, Upper Manhattan, Manhattan","$1,795",Studio,1_Bath
3842,https://www.renthop.com/listings/213-troy-avenue/4a/15761636,"213 Troy Avenue, Apt 4A","Weeksville, Crown Heights, Central Brooklyn, Brooklyn","$2,950",3_Bed,2_Bath
3843,https://www.renthop.com/listings/dutch-street/10i/15716386,Dutch street,"Financial District, Downtown Manhattan, Manhattan","$4,842",1_Bed,1_Bath
3844,https://www.renthop.com/listings/york-ave/8d/15702993,York Ave.,"Upper East Side, Upper Manhattan, Manhattan","$5,500",2_Bed,2_Bath
3845,https://www.renthop.com/listings/west-55th-street/na/5280538, West 55th Street ,"Theater District, Midtown Manhattan, Manhattan","$3,140",1_Bed,1_Bath
3846,https://www.renthop.com/listings/astor-place/3/15620910,Astor Place,"NoHo, Downtown Manhattan, Manhattan","$3,050",Studio,1_Bath
3847,https://www.renthop.com/listings/east-71st-street/3a/15768758,East 71st Street,"Upper East Side, Upper Manhattan, Manhattan","$2,250",Studio,1_Bath
3848,https://www.renthop.com/listings/303-east-83/na/15749801,303 East 83,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$4,999",1_Bed,1_Bath
3849,https://www.renthop.com/listings/east-65th-street/27/15732221,East 65th Street,"Upper East Side, Upper Manhattan, Manhattan","$2,575",2_Bed,1_Bath
3850,https://www.renthop.com/listings/west-64th-street/na/15699196,West 64th Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,200",1_Bed,1_Bath
3851,https://www.renthop.com/listings/east-78th-street/1f/15676539,East 78th Street,"Upper East Side, Upper Manhattan, Manhattan","$1,995",Studio,1_Bath
3852,https://www.renthop.com/listings/east-87th-street/a/9571112,East 87th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,200",1_Bed,1_Bath
3853,https://www.renthop.com/listings/west-10/5/15766735,west 10,"West Village, Downtown Manhattan, Manhattan","$4,225",1_Bed,1_Bath
3854,https://www.renthop.com/listings/218-jefferson-avenue/na/15435518,218 Jefferson Avenue,"Bushwick, Northern Brooklyn, Brooklyn","$2,350",2_Bed,1_Bath
3855,https://www.renthop.com/listings/west-111th-st/1c/15772998,West 111th St,"Central Harlem, Upper Manhattan, Manhattan","$1,875",Studio,1_Bath
3856,https://www.renthop.com/listings/115-mulberry-street/na/15775315,115 Mulberry Street,"Little Italy, Downtown Manhattan, Manhattan","$5,495",3_Bed,1_Bath
3857,https://www.renthop.com/listings/35-morningside-avenue/42/15721258,"35 Morningside Avenue, Apt 42","Morningside Heights, West Harlem, Upper Manhattan, Manhattan","$2,175",1_Bed,1_Bath
